CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,13,3,0
3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,0,0,3,1,20,3,0
5,0,5,1,4,0,1,0,2,1,1,1,1,1,1,0,0,3,3,880,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,2,17,3,0
8,0,5,2,4,3,2,0,4,2,3,2,2,2,1,1,0.6,3,1,9,3,0
5,0,5,1,4,0,3,0,4,1,3,3,3,3,3,1,0,3,1,60,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,132,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,10,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,1,1,15,1,0
12,0,9,4,8,3,3,0,9,4,8,3,3,3,1,2,0.33,4,4,99,4,0
16,0,16,2,15,0,25,1,16,2,15,9,9,9,1,4,0,6,6,57,6,1
4,0,2,1,1,2,1,0,2,1,1,1,1,1,1,0,1,5,5,493,5,1
42,5,19,2,18,18,3,0,12,2,11,3,3,3,3,1,0.95,5,5,443,5,1
10,0,8,3,7,2,2,0,6,3,5,2,2,3,1,1,0.25,4,3,90,4,1
6,0,6,3,5,0,2,0,6,3,5,2,2,2,1,1,0,3,3,192,3,0
15,1,9,7,8,5,2,0,9,7,8,2,2,2,1,1,0.56,5,5,180,5,1
27,9,8,3,7,11,1,0,8,2,7,1,1,2,1,1,1.38,1,1,9,0,0
4,0,4,2,3,0,1,0,4,2,3,1,1,1,1,0,0,4,4,132,4,0
22,0,22,9,21,0,4,1,21,9,20,3,3,3,1,1,0,5,5,900,5,1
35,2,33,9,32,0,36,2,26,9,25,8,8,11,1,2,0,5,5,664,5,1
22,0,12,12,8,10,1,0,9,9,8,1,1,4,1,0,0.83,9,8,537,6,1
3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,0,0,1,1,915,1,0
12,4,8,5,7,0,1,0,8,5,7,1,1,1,1,0,0,5,5,41,5,1
22,7,15,9,14,0,6,1,15,9,14,5,5,5,1,2,0,4,4,32,4,0
5,1,4,3,3,0,1,0,4,3,3,3,3,3,1,0,0,3,3,59,3,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,1,1,1290,1,0
54,11,33,12,32,10,1,0,21,12,20,1,1,1,1,0,0.3,5,5,173,5,1
41,9,29,8,28,3,6,1,24,8,23,4,4,4,3,2,0.1,5,5,327,5,1
15,0,15,12,14,0,1,0,12,12,11,3,3,4,1,0,0,6,6,36,6,1
61,1,47,12,44,13,832,3,41,11,39,14,14,17,1,4,0.28,8,8,232,8,1
31,5,25,10,23,1,26,1,22,9,21,7,7,7,1,3,0.04,7,7,294,7,1
65,1,38,8,35,28,8,1,29,7,26,4,4,5,1,2,0.74,8,8,213,8,1
10,1,8,2,7,1,2,0,6,2,5,2,2,2,1,1,0.12,1,1,171,0,0
13,2,11,2,9,0,1,0,10,2,8,1,1,1,1,0,0,6,6,63,6,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,2,2,23,2,0
5,0,5,4,4,0,1,0,5,4,4,1,1,1,1,0,0,4,3,227,4,0
5,0,5,4,3,0,1,0,4,3,3,1,1,1,1,0,0,5,5,51,5,1
8,0,8,2,7,0,1,0,8,2,7,1,1,1,1,0,0,8,8,71,8,1
15,0,13,3,11,2,4,1,12,2,11,4,4,4,4,2,0.15,7,7,91,7,1
14,0,14,4,13,0,1,0,9,4,8,1,1,1,1,0,0,1,1,54,1,0
27,5,22,8,21,0,108,2,21,8,20,11,11,13,1,4,0,4,4,140,4,0
27,0,27,15,24,0,1,0,15,13,14,1,1,1,1,0,0,11,11,80,8,1
18,1,11,3,10,8,2,0,10,3,9,2,2,2,1,1,0.73,4,4,14,4,0
13,0,13,3,12,0,1,0,6,3,5,1,1,1,1,0,0,0,0,48,1,0
7,0,7,5,6,0,1,0,7,5,6,1,1,9,1,0,0,10,10,669,5,1
37,6,31,10,30,0,6,1,24,9,23,4,4,4,1,3,0,1,1,9,0,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,1,1,27,1,0
4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,0,0,1,1,908,1,0
3,0,3,1,2,0,1,0,2,1,1,1,1,1,1,0,0,4,4,31,4,0
10,2,7,4,6,1,2,0,7,4,6,2,2,3,1,1,0.14,2,2,25,2,0
16,0,12,4,11,4,5,1,10,4,9,4,4,4,3,2,0.33,5,5,75,5,1
6,0,4,1,3,2,1,0,4,1,3,1,1,1,1,0,0.5,5,3,144,5,1
3,0,3,1,2,0,1,0,2,1,1,1,1,2,1,0,0,5,5,24,5,1
3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,0,0,4,2,52,4,0
25,3,17,7,16,5,9,1,14,7,13,5,5,5,1,2,0.29,3,3,36,3,0
24,3,18,5,16,3,12,1,16,4,15,5,5,5,1,1,0.17,10,10,208,9,1
6,0,6,3,5,0,3,0,6,3,5,3,3,3,1,2,0,4,4,111,4,0
5,0,5,3,4,0,1,0,5,3,4,1,1,1,1,0,0,1,1,26,1,0
13,2,9,4,8,2,1,0,9,4,8,1,1,1,1,0,0.22,6,6,32,6,1
20,0,16,7,13,4,3,0,11,5,10,3,3,3,1,2,0.25,8,8,114,15,1
32,6,25,10,23,1,2,0,20,9,19,2,2,2,1,1,0.04,7,6,59,7,1
19,2,16,3,15,1,3,0,8,3,7,3,3,3,1,1,0.06,5,5,134,5,1
8,2,6,1,5,0,1,0,4,1,3,1,1,1,1,0,0,5,3,145,5,1
13,2,11,2,10,0,2,0,8,2,7,2,2,2,1,1,0,6,4,44,6,1
8,2,6,2,4,0,1,0,5,1,4,1,1,1,1,2,0,7,7,367,7,1
12,0,8,2,7,4,5,1,8,2,7,4,4,4,3,2,0.5,1,1,320,1,0
5,0,5,4,4,0,1,0,5,4,4,1,1,1,1,0,0,3,3,375,3,0
4,0,4,2,3,0,2,0,4,2,3,2,2,2,1,1,0,1,1,338,1,0
