CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
11,1,9,2,8,1,6,1,9,2,8,4,4,4,1,1,0.11,4,2,209,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,97,3,0
5,0,5,1,4,0,2,0,4,1,3,2,2,2,1,1,0,3,3,82,3,0
7,0,7,5,6,0,2,0,7,5,6,2,2,5,1,1,0,5,5,329,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,90,3,0
46,6,38,5,37,4,57,2,33,4,32,13,13,14,8,3,0.11,4,4,633,4,0
20,0,20,3,19,0,5,1,16,3,15,5,5,5,5,3,0,3,3,131,3,0
3,0,3,1,2,0,2,0,3,1,2,2,2,2,1,1,0,4,4,46,4,0
5,0,5,4,4,0,1,0,5,4,4,1,1,1,1,0,0,3,1,43,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,70,4,0
5,0,5,2,4,0,2,0,5,2,4,2,2,2,1,1,0,3,3,115,3,0
6,2,4,1,3,0,2,0,4,1,3,2,2,2,1,1,0,4,3,22,3,0
82,16,31,8,30,38,58,2,31,8,30,10,10,13,6,5,1.23,3,3,28,3,0
19,1,18,9,17,0,4,1,16,9,15,3,3,3,1,1,0,3,2,141,3,0
6,0,6,2,5,0,2,0,5,2,4,2,2,2,1,1,0,4,4,700,4,0
7,0,7,1,6,0,3,0,5,1,4,3,3,3,3,1,0,4,4,410,4,0
19,3,7,7,6,9,1,0,7,7,6,1,1,1,1,0,1.29,4,4,812,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,206,4,1
7,0,7,1,6,0,3,0,5,1,4,3,3,3,1,1,0,4,4,88,4,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,192,4,0
20,1,19,6,18,0,13,1,18,6,17,8,8,8,1,6,0,3,3,166,3,0
11,0,11,4,9,0,4,1,8,3,7,3,3,3,1,1,0,7,7,530,3,0
23,0,23,8,22,0,3,0,13,8,12,3,3,3,3,2,0,3,3,362,3,0
67,9,25,6,21,33,128,2,19,3,18,8,8,8,1,1,1.32,11,11,464,3,0
24,3,9,3,8,12,8,1,9,3,8,4,4,4,1,1,1.33,3,1,752,3,0
37,4,24,9,16,9,32,2,13,2,12,6,6,6,1,1,0.38,8,8,3200,3,0
7,0,7,1,6,0,3,0,5,1,4,3,3,3,1,1,0,4,4,144,4,0
20,0,20,1,19,0,9,1,12,1,11,9,9,9,1,2,0,4,4,58,4,0
